iter	MultiQuantile:alpha=0.1,0.5,0.9
0	1.523987369
1	1.467252299
2	1.404898534
3	1.339295239
4	1.282541274
5	1.248402334
6	1.206571028
7	1.176279705
8	1.147535908
9	1.109940284
10	1.090809818
11	1.061659648
12	1.034033474
13	1.012958165
14	0.9903205174
15	0.9699940966
16	0.9530586118
17	0.9363920044
18	0.9141412344
19	0.9019090406
20	0.8911722664
21	0.875790525
22	0.8649407195
23	0.8515172434
24	0.8425603201
25	0.8344249805
26	0.8223399883
27	0.8132754783
28	0.8044298939
29	0.7951969718
30	0.7875492811
31	0.7803609851
32	0.7761365523
33	0.76714565
34	0.7634901754
35	0.7589783142
36	0.7521991847
37	0.7506642544
38	0.746503717
39	0.742814041
40	0.7396664755
41	0.7344527116
42	0.7310380846
43	0.7299864107
44	0.7260371128
45	0.7188831405
46	0.7144528666
47	0.7113482531
48	0.7058784533
49	0.7020186976
50	0.6985133805
51	0.6953024794
52	0.6897718712
53	0.686368019
54	0.683082911
55	0.6800442914
56	0.6776555589
57	0.6731906134
58	0.6706889029
59	0.6694394388
60	0.6658674775
61	0.6642683937
62	0.6628732756
63	0.6607875785
64	0.6594146277
65	0.6576554383
66	0.6553880361
67	0.6523287123
68	0.6497126769
69	0.6465537749
70	0.6445298942
71	0.642052571
72	0.6376052877
73	0.6359126519
74	0.6336621931
75	0.632133119
76	0.6297192873
77	0.6279650297
78	0.6260064378
79	0.6251674651
80	0.6234715562
81	0.6225814775
82	0.6214216913
83	0.6200401529
84	0.6195232167
85	0.618241364
86	0.6167125643
87	0.6148921712
88	0.6138529914
89	0.61185029
90	0.6107479847
91	0.6093873879
92	0.6073575446
93	0.604882294
94	0.6035907745
95	0.6025973184
96	0.6013484616
97	0.5998896657
98	0.598625167
99	0.5974568176
100	0.5946300658
101	0.5936958106
102	0.5928728594
103	0.5916173871
104	0.5902071903
105	0.5891993254
106	0.586721253
107	0.5853320961
108	0.5848717175
109	0.5841100385
110	0.5829086697
111	0.5815460967
112	0.5804705793
113	0.5773354997
114	0.5754838576
115	0.5742117893
116	0.5731762389
117	0.5712227275
118	0.5693218976
119	0.5674943353
120	0.566071695
121	0.56427981
122	0.5629643349
123	0.5614243516
124	0.5605685692
125	0.5598034344
126	0.5587720914
127	0.5581639829
128	0.5565825923
129	0.5553991075
130	0.5545640725
131	0.5540921519
132	0.553653484
133	0.5520198255
134	0.550352668
135	0.5493352352
136	0.5475928028
137	0.5471046313
138	0.5458802621
139	0.5451940385
140	0.5435342092
141	0.5424172877
142	0.5414136386
143	0.5404415039
144	0.539423924
145	0.5380317389
146	0.5374943496
147	0.5357781699
148	0.5344288442
149	0.5333882193
150	0.5326763772
151	0.5316549974
152	0.5305156893
153	0.5297891301
154	0.5291514385
155	0.5277842024
156	0.5265102174
157	0.524805146
158	0.5239083298
159	0.5228332748
160	0.5218741202
161	0.5211467787
162	0.5195432081
163	0.517735532
164	0.5168924716
165	0.5154361142
166	0.5138207784
167	0.5119921849
168	0.511575578
169	0.5111723417
170	0.5092590633
171	0.5084886681
172	0.5079780894
173	0.5070967135
174	0.5064813924
175	0.5059376802
176	0.504650226
177	0.5037098855
178	0.5031649257
179	0.5019466261
180	0.5014014518
181	0.4999806861
182	0.4988889913
183	0.4977086606
184	0.4971853089
185	0.4964914204
186	0.4961129516
187	0.4948601032
188	0.493524685
189	0.4921739086
190	0.4915248396
191	0.4905172599
192	0.4893559363
193	0.4889584866
194	0.4881035951
195	0.4871534227
196	0.4865360384
197	0.4858612912
198	0.4850660864
199	0.4839786367
200	0.4837967063
201	0.4828830769
202	0.4821740992
203	0.4807885328
204	0.4802622084
205	0.4785255591
206	0.4780497885
207	0.4773098052
208	0.4766698492
209	0.4761215174
210	0.4753979885
211	0.4739748355
212	0.4733695472
213	0.4725223059
214	0.4722732129
215	0.4711849965
216	0.4706857514
217	0.4701444446
218	0.4696338538
219	0.4694142595
220	0.4686365457
221	0.4678702312
222	0.467094992
223	0.4665548065
224	0.4663223473
225	0.4649059688
226	0.4638620088
227	0.4628475195
228	0.4623837907
229	0.4616206242
230	0.4609486218
231	0.4602958488
232	0.459750914
233	0.4591278436
234	0.4588815164
235	0.4585157127
236	0.4581041589
237	0.4572531851
238	0.4570163881
239	0.4565164593
240	0.4562486843
241	0.4558702346
242	0.4554402213
243	0.4545905407
244	0.4539459631
245	0.4535055484
246	0.4525294931
247	0.4518907567
248	0.4507023221
249	0.4497845244
250	0.4486812909
251	0.4481972394
252	0.4480837221
253	0.4477891357
254	0.447493448
255	0.4467173136
256	0.4464045141
257	0.4459929586
258	0.4454402655
259	0.4446688275
260	0.4441710716
261	0.4437386529
262	0.4427425724
263	0.4423581672
264	0.4418852259
265	0.4414259255
266	0.4409136833
267	0.4403427311
268	0.4396557131
269	0.4394617683
270	0.4386849079
271	0.4378799556
272	0.4373939867
273	0.4370633945
274	0.4367358082
275	0.4358892145
276	0.4355922894
277	0.4350933168
278	0.4347544006
279	0.4343053517
280	0.4339996714
281	0.4334969145
282	0.4328763537
283	0.4321175346
284	0.4317393024
285	0.4313536812
286	0.4310852037
287	0.4309034507
288	0.4305948491
289	0.4300244369
290	0.4295594654
291	0.4286701114
292	0.4283160639
293	0.4269981116
294	0.4265974898
295	0.4264556484
296	0.4262868024
297	0.4258454416
298	0.4250222751
299	0.4244532477
